Code,Description
nan,"The documentation and first invoice to the patient/medical scheme regarding orthodontic services will include the following information:_x000D_
a. The treatment plan and type of treatment (treatment code number);_x000D_
b. A diagnostic code (ICD-10) and_x000D_
c. An orthodontic payment plan indicating the following:_x000D_
   i.  The total fee that will be levied for the treatment;_x000D_
   ii.  The total months of orthodontic treatment (retention period excluded);_x000D_
   iii. The initial fee payable by the patient (approximately 20% of the total fee); and_x000D_
   iv. The monthly payments of the balance of the fee."
nan,"2.	The fee for orthodontic treatment does not include a clinical oral evaluation and necessary diagnostic services.  The fee for corrective therapy (i.e. codes 8861 to 8888) is an inclusive fee and no additional fees may be levied for intra-operative oral evaluations and preventive services.  A pre-orthodontic treatment visit, an orthodontic retention, and an oral evaluation on completion of the treatment plan (retention phase included) are excluded and should be reported in addition to corrective orthodontic treatment as separate procedures (Code 8803 x3). Intra/post orthodontic treatment records consisting of radiographs/diagnostic images (limited to a cephalometric film and 5 oral/facial images) and diagnostic casts may be levied when a corrective orthodontic treatment plan is completed (retention phase included)."
nan,"3.	The fee for 'Fixed appliance therapy' (codes 8861 and 8865 to 8888), as determined by the individual practitioner, will be levied on a monthly manner over the treatment period (retention phase excluded)."
nan,"4.	When partial fixed appliance or preliminary orthodontic treatment (codes 8858, 8861, 8865 or 8866) is followed by full fixed appliance orthodontic treatment (codes 8873 to 8888) provided by the same orthodontist, the fees levied for the partial fixed appliance therapy or preliminary treatment will be deducted from the fee quoted for the full fixed appliance orthodontic treatment."
nan,5.	The total fee for multiple phases of full fixed appliance orthodontic treatment provided by the same orthodontist may not exceed the most recent fee (determined on commencement date of the final stage of full fixed appliance treatment) for the appropriate full fixed orthodontic procedure.
nan,"6.	When the patient transfers to another practitioner during treatment, or treatment is terminated for any reason, the original treating practitioner must report the number of treatment months remaining and determine the balance of the fee by applying the following formula: Total payment (for treatment only) minus 20% of the total fee (for banding - when applicable) multiplied by the percentage of treatment remaining. For example, if the practitioner was paid R 10,000.00 for a 24-month treatment plan and 18 months of treatment were completed. The balance would be R 2,000.00 (or R 10,000.00 - R 2,000.00 x 6/24). The length of the treatment plan from the original request for authorisation will be used to determine the number of treatment months remaining. The practitioner continuing treatment will provide the information stipulated in paragraph 1 above. Report code 8891 (Orthodontic transfer) with the fee that will be levied for continuation of the treatment in addition to the appropriate orthodontic treatment code. The fee for continuous treatment is subject to prior authorisation by the patient's medical scheme."
nan,"7.	When an established orthodontic patient requires re-treatment, the information stipulated in paragraph 1 above and the cause(s) for re-treatment will be provided. Report code 8892 (Orthodontic re-treatment) with the fee that will be levied for re-treatment in addition to the appropriate orthodontic treatment code. Orthodontic re-treatment is subject to prior authorisation by the patient's medical scheme."
011,"Dento-legal fees:
Practitioners are entitled to remuneration if they are present at Court at the request of an advocate or attorney. Use code 8111 (Dental testimony) to report dento-legal work. The code is listed in the adjunctive general services sections in the code lists."
011,"Dento-legal fees:
Practitioners are entitled to remuneration if they are present at Court at the request of an advocate or attorney. Use code 8111 (Dental testimony) to report dento-legal work. The code is listed in the adjunctive general services sections in the code lists."
012,"Modifiers:
Modifiers should be used with procedures identified throughout the NHRPL.	
Modifiers provide the means by which the reporting practitioner can indicate that a service or procedure that has been performed has been altered by some specific circumstance but not changed it its definition or code. The sensible application of modifiers obviates the necessity for separate procedure listings that may describe the modifying circumstance.  Modifiers may be used to indicate to the recipient of the report that:	
a.	A service or procedure was performed by more than one practitioner.	
b.	A service or procedure has been increased or reduced.	
c.	Only part of a service was performed.	
d.	An adjunctive service was performed.	
e.	A service or procedure was provided more than once.	
f.	The fee/benefit was altered due to a financial agreement."
8001,Assistant surgeon - specialist (1/3 of the appropriate benefit)
8005,Maximum multiple procedures (same incision) - MFO surgeon
8006,Multiple surgical procedures -  third and subsequent procedures (50% of the appropriate benefit)
8007,Assistant surgeon - general dental practitioner (15% of the appropriate benefit)
8008,Emergency surgery - after hours (PLUS 25% of the appropriate benefit)
8009,Multiple surgical procedures - second procedure (75% of the appropriate benefit)
8010,Open reduction (PLUS 75% of the appropriate benefit)
8011,Procedure accompanied by unusual circumstances (Benefit PLUS X % as determined by the practitioner and agreed upon by patient/medical scheme)
8012,Reduced services (benefit MINUS X % as determined by the practitioner)
8013,Multiple modifiers
8023,Fabrication of inlay/onlay (PLUS 25% of the appropriate benefit)
8025,Handling fee - direct materials (26% of material cost to a maximum of R26.00)
8105,Case presentation – extensive treatment planning Use this code for the presentation of a treatment plan to a patient as a result of an extensive oral examination (Code 8103) and treatment planning (e.g. orthognathic case presentation to the patient and family). This code may not be reported on the same day as the examination or any other procedure
8893,Telephonic/electronic consultation
8894,"Consultation without the patient (with family for consent or writing of special reports, or preparation of quotations)"
8895,Examination under general anaesthesia
8101,Oral examination
8102,Comprehensive oral examination
8104,Limited oral examination
8189,Re-examination - existing condition
8176,Periodontal screening
8181,Administration of dermal filler within the peri-oral area.
8182,Cost of dermal filler.
8190,Consultation - second opinion or advice
8901,Consultation - MFOS
8902,Consultation - MFOS (detailed)
*8840,Treatment planning for orthognathic surgery - ALL
8801,Consultation - Orthodontist
8802,Orthodontic consultation and treatment planning.
8803,"Consultation - Orthodontis (subsequent, retention and post treatment)"
8837,Diagnosis and treatment planning - Orthodontist
8701,Consultation - periodontist
8703,Consultation - Periodontist (detailed)
8705,Re-examination - Periodontist
8707,Periodontal screening - Periodontist
8722,Cost of provisional splinting materials. See Rule 002 Appendix A.
8781,Consultation - Oral medicine (simple)
8782,Consultation - Oral medicine (complex)
8783,Consultation - Oral medicine (subsequent)
8501,Consultation - Prosthodontis
8507,Comprehensive consultation - Prosthodontist
8506,Detailed consultation - Prosthodontist
9201,Consultation - oral pathologist
9205,Consultation - oral pathologist (subsequent)
8107,Intraoral radiograph - periapical
8108,Intraoral radiographs - complete series
8112,Intraoral radiograph - bitewing
8113,Intraoral radiograph - occlusal
8114,Extraoral radiograph - hand-wrist
8115,Extraoral radiograph - panoramic
8116,Extraoral radiograph - cephalometric
8118,Extraoral radiograph - skull/facial bone
8121,Oral and/or facial image (digital/conventional)
8601,Computerised implant planning
8602,Computer Generated Surgical Guide
8483,Cost of CT Scan DICOM conversion
8485,Cost of the production of a computer generated surgical guide using rapid prototyping. Systems using computer generated laboratory techniques (e.g. Med 3-D) can use laboratory technician codes.(8099)
8193,Three-dimensional reconstruction of cone beam volumetric image using existing data (includes multiple images)
8194,CBCT capture and interpretation with limited field of  view –less than one whole jaw
8195,CBCT capture and interpretation with limited field of  view  of one full dental arch -mandible
8196,CBCT capture and interpretation with limited field of  view  of one full dental arch – maxilla without orbits and/or cranium
8199,CBCT capture and interpretation with limited field of  view  of one full dental arch – maxilla with orbits and/or cranium
8197,CBCT capture and interpretation with limited field of  view  of both dental arches –without orbits and  or cranium
8200,CBCT capture and interpretation with field of  view  of both dental arches –with orbits and/or cranium
8217,CBCT capture and interpretation for the visualisation of sinuses
8198,CBCT capture and interpretation for TMJ series including two or more exposures.
8205,CBCT image capture with limited field of  view –less than one whole jaw
8206,CBCT image capture with limited field of  view of one full dental arch -mandible
8207,CBCT image capture with limited field of view of one full dental arch – maxilla without orbits and or cranium
8210,CBCT image capture with limited field of  view  of one full dental arch – maxilla with orbits and/or cranium
8208,CBCT capture with limited field of view of both dental arches –without orbits and or cranium
8211,CBCT capture with field of view of both dental arches –with orbits and/or cranium
8218,CBCT capture for the visualisation of sinuses
8209,CBCT capture for TMJ series including two or more exposures.
8203,"Interpretation of diagnostic image by a practitioner not associated with capture of the image, including  the report"
8212,"Interpretation of diagnostic image by a practitioner associated with capture of the image, including the report"
8219,"Report by a third party on pathology, implant measurements, endodontics, orthodontic measurements, nerve proximities etc"
8117,Diagnostic models
8119,Diagnostic models mounted
8126,Digital Diagnostic Models
*8122,Microbiological studies
*8123,Caries susceptibility tests (By Arrangement)
8124,Pulp tests
8125,Pulp tests – more than 3 teeth. See Code 8124 for descriptor
8503,Occlusion analysis mounted
8505,Pantographic recording
*8508,Electrognathographic recording
*8509,Electrognathographic recording with computer analysis
8811,Tracing and analysis of extra-oral film
8839,Diagnostic setup (orthodontics)
8155,Polishing - complete dentition
8159,Prophylaxis - complete dentition
*8160,Removal of gross calculus
8179,Polishing - complete dentition (periodontally compromised patient)
8180,Prophylaxis - complete dentition (periodontally compromised patient)
8161,Topical application of fluoride - child
8162,Topical application of fluoride - adult
8173,"Space maintainer - fixed, per abutment"
8174,Recementation of space maintainer
8175,Space maintainer  - removable
*8149,Nutritional counselling
*8150,Tobacco counselling
*8151,Oral hygiene instruction
*8153,Oral hygiene instruction - each additional visit
8163,Sealant - per tooth
8169,Occlusal guard
8171,Mouth guard
8177,Oral hygiene instruction (periodontally compromised patient)
8178,Oral hygiene instruction - each additional visit (periodontally compromised patient)
8341,Amalgam - one surface
8342,Amalgam - two surfaces
8343,Amalgam - three surfaces
8344,Amalgam - four or more surfaces
8346,Restorative Material Factor
8350,Resin crown - anterior primary tooth (direct)
8351,"Resin - one surface, anterior"
8352,"Resin - two surfaces, anterior"
8353,"Resin - three surfaces, anterior"
8354,"Resin - four or more surfaces, anterior"
8367,"Resin - one surface, posterior"
8368,"Resin - two surfaces, posterior"
8369,"Resin - three surfaces, posterior"
8370,"Resin - four or more surfaces, posterior"
*8561,Gold foil class I or IV - DELETED FROM GEMS TARIFF 2011
*8563,Gold foil class V - DELETED FROM GEMS TARIFF 2011
*8565,Gold foil class III - DELETED FROM GEMS TARIFF 2011
8360,Temporary   inlay/onlay
8361,Inlay - metal - one surface
8362,Inlay/onlay - metal - two surfaces
8363,Inlay/onlay - metal - three surfaces
8364,Inlay/onlay - metal - four or more surfaces
8371,Inlay - porcelain - one surface
8372,Inlay/onlay - porcelain - two surfaces
8373,Inlay/onlay - porcelain - three surfaces
8374,Inlay/onlay - porcelain - four or more surfaces
8519,Fabrication of computer generated 1-3 surface resin or  ceramic inlay or onlay
nan,"This procedure involves the fabrication of a computer generated (CAD-CAM) resin or ceramic restoration by the dental practitioner. See Code 8527, 8528 for cost of materials. Practitioners will use this code and not the usual laboratory fees (8099)"
8520,Fabrication of computer generated 4 or more surface resin or ceramic inlay or onlay
8521,Fabrication of computer generated resin or ceramic crown
8522,"Fabrication of computer generated  resin or ceramic crown retainer, per unit as part of bridge framework"
8523,"Fabrication of computer generated  resin or ceramic pontic, per unit as part of bridge framework"
8524,"Fabrication of computer generated resin or  ceramic veneer for bridge framework, per unit"
8525,"Fabrication of computer generated ceramic implant supported restoration, per unit"
8526,"Fabrication of a computer generated ceramic implant abutment, per unit"
8527,Direct Cost of material in the fabrication of computer generated resin restoration.
8528,Direct Cost of material in the fabrication of computer generated ceramic restoration.
8560,Cost of ceramic block
8570,Fabrication of computer generated ceramic restoration
8381,Inlay - resin - one surface
8382,Inlay/onlay - resin - two surfaces
8383,Inlay/onlay - resin - three surfaces
8384,Inlay/onlay - resin - four or more surfaces
8385,Fabrication of Indirect resin inlay/onlay restoration
8400,Temporary crown
8401,Crown - full cast metal
8403,Crown - 3/4 cast metal
8404,Crown - 3/4 porcelain/ceramic
8405,Crown - resin laboratory
8406,Crown – three-quarter resin (indirect)
8407,Crown - resin with metal
8409,Crown - porcelain/ceramic
8411,Crown - porcelain with metal
8410,Provisional crown
8355,Veneer - resin (chair-side)
8552,Veneer - porcelain (laboratory)
8554,Veneer - resin (laboratory)
8137,Emergency crown (chair-side)
8357,Prefabricated metal crown
8480,Cost of Prefabricated metal restoration
8375,Prefabricated non-metal crown
8380,Cost of prefabricated non-metal restoration or crown
8345,"Prefabricated post retention, per post (in addition to restoration)"
8347,Pin retention - first pin (in addition to restoration)
8348,Pin retention - each additional pin (in addition to restoration)
8366,Pin retention as part of cast restoration (any number of pins)
8376,Core build-up with prefabricated posts
8379,Cost of prefabricated posts
8391,Cast core with single post
8392,Cast post (each additional)
8397,Cast core with pins (any number of pins)
8396,Coping – metal
8398,Core build-up with or without pins
8581,Cast core with single post
8582,Cast core with double post
8583,Cast core with triple post
8130,Rebond veneer
8133,"Recement inlay, onlay, crown or veneer"
8142,Recement inlay/onlay/veneer
8134,Recement cast core or post
8135,"Remove inlay, onlay or crown"
8156,Removal of inlay/onlay/Veneer
8138,Remove retention post (prefabricated or cast)
*8146,Resin bonding for restorations
8228,ART restorations
8157,Re-burnishing and polishing of restorations - complete dentition
8349,Carve restoration to accommodate existing removable prosthesis
8413,Repair crown (permanent or provisional)
8414,Additional fee for provision of crown within an existing clasp or rest
8301,Pulp cap - direct
8303,Pulp cap - indirect
8307,Pulp amputation (pulpotomy)
8132,Pulp removal (pulpectomy)
8332,Root canal preparatory visit - single canal tooth
8333,Root canal preparatory visit - multi canal tooth
8317,"Root canal preparation, each additional canal"
8318,Irrigation and medication per tooth at a separate visit
8335,Root canal obturation - anteriors and premolars - first canal
8328,Root canal obturation - anteriors and premolars - each additional canal
8336,Root canal obturation - posteriors - first canal
8337,Root canal obturation - posteriors - each additional canal
8338,Root canal therapy - anteriors and premolars - first canal
8329,Root canal therapy - anteriors and premolars - each additional canal
8339,Root canal therapy - posteriors - first canal
8340,Root canal therapy - posteriors - each additional canal
8631,Root canal therapy - first canal
8633,Root canal therapy - each additional canal
8639,Endodontic instruments per patient per completed treatment.
8334,Re-preparation of previously obturated root canal
8323,"Retreatment of previously completed root canal therapy, each additional canal
– anterior or premolar"
8324,"Retreatment of previously completed root canal therapy, each additional canal – molar"
8634,Apexification/ apexogenesis /revascularisation - initial visit
8635,Apexification/recalcification – per visit
8637,"Apicectomy/ periradicular surgery, first root – anteriors or premolars"
8638,"Apicectomy/ periradicular surgery, each additional root – anteriors and premolars"
9015,Apicectomy - anteriors (including retrograde filling)
9016,Apicectomy - posteriors (including retrograde filling)
8641,"Apicectomy/ periradicular surgery, first root – molar"
8642,"Apicectomy/ periradicular surgery, each additional root – molars"
8330,Removal of root canal obstruction
8331,Repair of perforation defects
8136,Access through a prosthetic crown or inlay to facilitate root canal treatment
8640,Removal of fractured post or instrument from root canal
8765,"Hemisection of a tooth, resection of a root or tunnel preparation (isolated procedure)"
8792,Vestibuloplasty with teeth per sextant
8793,Vestibuloplasty in an edentulous area per sextant
8794,Alveoplasty with implant therapy 1-3 teeth
8795,Alveoplasty with implant therapy 4 or more teeth
8796,Repair of oronasal opening
8741,Gingivectomy/gingivoplasty - four or more teeth per quadrant
8743,Gingivectomy or gingivoplasty - one to three teeth per quadrant
8749,"Flap procedure, root planing and one to three surgical services - per quadrant"
8746,Flap operation with root planing and curettage (open curettage) – four or more teeth per quadrant
nan,See code 8749 for descriptor
8747,"Flap operation with root planing and curettage, including bone surgery – one to three teeth per quadrant"
8748,"Flap operation with root planing and curettage, including bone surgery – four or more teeth per quadrant"
8751,"Flap procedure, root planing and one to three surgical services - per sextant"
8753,"Flap procedure, root planing and four or more surgical services - per quadrant"
8755,"Flap procedure, root planing and four or more surgical services - per sextant"
8756,Clinical crown lengthening (isolated procedure)
8759,Pedicle flapped graft (isolated procedure)
*8761,Masticatory mucosal autograft - one to four teeth (isolated procedure)
*8762,Masticatory mucosal autograft - four or more teeth (isolated procedure)
8763,Wedge resection (isolated procedure)
*8766,Bone regeneration/repair procedure - as part of a flap operation
*8767,Bone regeneration/repair procedure - at a single site
*8769,Membrane removal (used for guided tissue regeneration)
*8770,Cost of bone regenerative/repair material
*8772,Submucosal connective tissue autograft (isolated procedure)
8780,"Alveolar process preservation, per extraction site"
8995,Gingivectomy - per jaw
8723,Provisional splinting - extracoronal (wire) - per sextant
8725,Provisional splinting - extracoronal (wire plus resin) - per sextant
8727,Provisional splinting - intracoronal - per tooth
8737,Root planing - four or more teeth per quadrant
8739,Root planing - one to three teeth per quadrant
8773,Cost of intrapocket chemotherapeutic agent
8711,The visualisation enhancement adjunct (VEA)
8768,Unlisted periodontal procedure
8732,Topical treatment of diseased soft tissue
8787,Unlisted oral medicine procedure
8231,Complete dentures - maxillary and mandibular
8232,Complete denture - maxillary or mandibular
8244,Immediate denture - maxillary
8245,Immediate denture - mandibular
8246,Immediate denture – Partial
8643,Complete dentures - maxillary and mandibular (with complications)
8645,Complete dentures - maxillary and mandibular (with major complications)
8646,Immediate denture – maxillary or mandibular    Only for Prosthodontist
8647,Immediate denture – maxillary or mandibular (with major complications) Only for Prosthodontist
8649,Complete denture - maxillary or mandibular (with complications)
8651,Immediate Denture Mandibular. Only for Prosthodontist
8233,Partial denture - resin base - one tooth
8234,Partial denture - resin base - two teeth
8235,Partial denture - resin base - three teeth
8236,Partial denture - resin base - four teeth
8237,Partial denture - resin base - five teeth
8238,Partial denture - resin base - six teeth
8239,Partial denture - resin base - seven teeth
8240,Partial denture - resin base - eight teeth
8241,Partial denture - resin base - nine or more teeth
8281,Partial denture - cast metal framework only
8283,Partial denture – Flexidenture framework
8284,Full denture –Flexidenture framework
8671,Partial denture - cast metal framework with resin denture base
8275,Adjust complete or partial denture
8662,Adjust complete or partial dentures (remounting)
8269,Repair denture or other intra-oral appliance
8270,Add clasp to existing partial denture
8271,Add tooth to existing partial denture
8273,Impression to repair or modify a denture or other intra-oral appliance
8278,Modification of surgical conformer.
8259,Rebase complete or partial denture (laboratory)
8261,Remodel complete or partial denture
8263,Reline complete or partial denture (chair-side)
8267,Reline complete or partial denture (laboratory)
8658,Interim complete denture
8659,Interim partial denture
8661,Diagnostic dentures (including tissue conditioning)
*8251,Clasp or rest - cast gold
*8253,Clasp or rest - wrought gold
8255,Clasp or rest - stainless steel
8257,Bar - lingual or palatal
8265,Tissues conditioning per arch (including soft self-cure reline)
*8277,Inlay in denture
8597,Locks and milled rests
8599,Precision attachment (removable denture)
8652,Overdenture - complete
8653,Overdenture - partial
8657,Replacement of precision attachment
8663,Metal base to complete denture
8664,Remount crown or bridge for prosthetics
8667,Soft base to denture (heat cured)
8672,Altered cast technique (in addition to partial denture)
8674,Additive partial denture
9196,Planning for Craniofacial Reconstruction – Simple
9197,Planning for Craniofacial Reconstruction – Complex
9101,"Obturator prosthesis, surgical - modified denture"
9102,"Obturator prosthesis, surgical - continuous base"
9104,"Obturator prosthesis, interim - on existing denture"
9105,"Obturator prosthesis, interim - on new denture"
9106,"Obturator prosthesis, definitive - open/hollow box"
9107,"Obturator prosthesis, definitive - silicone glove"
nan,Obturator prosthesis modification
8685,Modification of obturator prostheses per visit.
9108,Mandibular resection prosthesis w/ guide flange
9109,Mandibular resection prosthesis w/o guide flange
9110,"Mandibular resection prosthesis, palatal augmentation"
9111,Glossal resection prosthesis - simple
9112,Glossal resection prosthesis - complex
9113,Radiation carrier - simple
9114,Radiation carrier - complex
9115,Radiation shield - simple
9116,Radiation shield - complex
9117,Radiation cone locator
9118,Chemotherapeutic agent carrier
8855,Consultation - cleft palate therapy (house or hospital)
8856,Consultation - cleft palate (subsequent)
8857,Consultation - cleft palate (maximum)
9119,"Feeding aid prosthesis, neonatal"
9120,"Orthopaedic appliance, active presurgical - minor"
9121,"Orthopaedic appliance, active presurgical - moderate"
9122,"Orthopaedic appliance, active presurgical - severe"
9123,"Orthopaedic appliance, active presurgical - modification"
9125,Speech aid/obturator prosthesis - palatal alteration
9126,Speech aid/obturator prosthesis - velar alteration
9127,Speech aid/obturator prosthesis - pharyngeal alteration
9128,Speech aid/obturator prosthesis - modification
9129,Speech aid/obturator prosthesis - surgical
9130,Speech aid appliance - palatal lift
9131,Speech aid appliance - palatal stimulating
9132,Speech aid appliance - bulb
9133,Speech aid appliance - modification
9134,Unspecified speech aid appliance
9135,Auricular prosthesis - simple
9136,Auricular prosthesis - complex
9137,Nasal prosthesis - simple
9138,Nasal prosthesis - complex
9139,Ocular prosthesis - interim
9140,Ocular prosthesis - modified stock appliance
9141,Ocular prosthesis - custom appliance
9142,Orbital prosthesis - simple
9143,Orbital prosthesis - complex
9144,"Facial prosthesis, combination - small"
9145,"Facial prosthesis, combination - medium"
9146,"Facial prosthesis, combination - large"
9147,"Facial prosthesis, combination - complex"
9148,Unspecified body prosthesis - simple
9149,Unspecified body prosthesis - complex
9150,"Facial prosthesis, surgical - simple"
9151,"Facial prosthesis, surgical - complex"
9152,Extraoral appliance - additional prosthesis
9153,Extraoral appliance - replacement prosthesis
9155,Cranial prosthesis
9156,"Cranial implant prosthesis, custom made"
9157,"Facial implant prosthesis, custom made - simple"
9158,"Facial implant prosthesis, custom made - complex"
9159,"Ocular implant prosthesis, custom made"
9160,Body implant prosthesis - custom made
9154,Cost of Surgical Splint
9161,Surgical splint - simple
9162,Surgical splint - complex
9163,Surgical template - simple
9164,Surgical template - complex
9165,Surgical conformer - simple
9166,Surgical conformer - complex
9167,Trismus appliance (simple)
9168,Trismus appliance (complex)
9169,Orthoses appliance
9170,Facial palsy appliance
9171,Commissure splint
9172,"Oral retractor, dynamic - per arm"
9173,Hand splint
9174,Unspecified burn appliance
9175,Theatre attendance (MaxFac prosthod) /hour
*9180,Surgical placement of sub-periosteal implant - preparatory stage
*9181,Surgical placement of sub-periosteal implant - placement stage
*9182,Surgical placement of endosteal implant plate
8216,CBCT of plaster models or impressions for the purpose of creating virtual models for use in planning software
*9183,Surgical placement of endosteal implant - first per jaw
*9184,Surgical placement of endosteal implant - second per jaw
*9185,Surgical placement of endosteal implant - third and subsequent per jaw
*9190,Surgical placement of abutment - first per jaw
*9191,Surgical placement of abutment - second per jaw
*9192,Surgical placement of abutment - third and subsequent per jaw
*8584,Connector bar - implant supported
8669,Crown cemented on a screw-retained implant-supported superstructure.
*8578,Prefabricated abutment
*8579,Custom abutment
8580,Modification of prefabricated abutment
*8533,Implant supported removable complete overdenture
*8534,Implant supported removable partial overdenture
*8654,Implant supported fixed-detachable complete overdenture
8550,Retainer-Implant/Abutment Supported
*8655,Implant supported fixed-detachable partial overdenture
*8660,Additional fee to implant supported fixed-detachable denture - per implant
*8536,Crown - implant/abutment supported - porcelain/ceramic
*8537,Crown - implant/abutment supported - porcelain with metal
*8538,Crown - implant/abutment supported - cast metal
8539,Crown-Implant / abutment supported crown – resin veneered to metal
8541,Implant supported temporary crown – cemented
8542,Implant supported temporary crown – screw retained
8543,Implant supported provisional crown – cemented
8544,Implant supported provisional crown – screw retained
8592,Crown - implant/abutment supported
8673,Access through a cemented implant supported crown for screw location
*8546,Crown retainer - implant/abutment supported - porcelain/ceramic
*8547,Crown retainer - implant/abutment supported - porcelain with metal
*8548,Crown retainer - implant/abutment supported - cast metal
8549,Implant supported crown retainer – resin veneered to metal
8571,Implant supported temporary retainer – cemented
8572,Implant supported temporary crown  retainer – screw retained
8573,Implant supported provisional crown retainer – cemented
8574,Implant supported provisional crown retainer – screw retained
8665,Mini screw implants
8666,Immediate loading of implant
8668,Metal base for implant supported denture - complete
8621,Metal base for implant supported denture – Partial
8670,Implant screw access closure
8588,Implant supported superstructure
*8590,Implant maintenance procedures - per implant
8591,Removal of implant supported prosthesis
8593,Repair of implant supported resin prosthesis
*8594,Repair of implant supported prosthesis
*8595,Repair of implant abutment
8596,"Repair of implant supported ceramic or ceramometal crown, retainer or pontic"
8598,Repair of implant supported Provisional Prosthesis
*8600,Cost of implant components
*9187,Cost of endosteal implant body
*9188,Cost of prefabricated abutment
*9189,Cost of other implant compnts
9193,Report as an additional code for the placement of endosseus implant into fresh extraction socket
9194,Surgical placement of one-piece trans mucosal endosseus implant
9195,Additional code for the surgical placement of single phase endosseus implant
8603,Removal of fractured/damaged screw within implant.
8604,Removal of fractured/damaged screw within abutment.
8605,Surgical placement of one piece transmucosal implant for orthodontic retention.
8607,"Skeletal anchorage - screw, plate or implant"
8608,Removal of non-integrated implant
8609,"Flap operation with modification of the implant surface, including bone surgery-one to three implants per quadrant"
8610,"Flap operation with modification of the implant surface, including bone surgery-four or more implants per quadrant"
8612,Skeletal anchorage - removal
*9198,Surgical removal of implant
8415,Pontic - porcelain/ceramic
8416,Pontic - cast metal
8417,Pontic - resin with metal
8418,Pontic - porcelain fused to metal
8419,Provisional pontic
8420,Pontic – resin based composite (indirect)
8422,Pontic – resin based composite (direct)
8423,Ovate pontic design
8611,Pontic - sanitary
8613,Pontic - posterior
8615,Pontic - anterior/premolar
8421,Temporary pontic
